,symbol,price_change,percent_change,last_price,high,low,volume
313,FARM/USDT,-2.16,-6.526,30.94,35.6,30.82,3514577.50762
343,CHESS/USDT,-0.0063,-6.563,0.0897,0.097,0.0894,1021532.14444
499,REZ/USDT,-0.00121,-6.678,0.01691,0.01823,0.01681,2012363.215026
18,NULS/USDT,-0.0093,-6.788,0.1277,0.1373,0.1277,291458.8848
283,FORTH/USDT,-0.207,-7.17,2.68,2.904,2.675,980108.26111
112,COTI/USDT,-0.00632,-7.343,0.07975,0.08693,0.07919,4257445.28515
405,LEVER/USDT,-7.4e-05,-7.4,0.000926,0.001005,0.000913,1235730.424806
306,C98/USDT,-0.0057,-7.441,0.0709,0.077,0.0708,3260569.75475
423,VIB/USDT,-0.00323,-7.543,0.03959,0.04324,0.03846,697949.06162
378,IMX/USDT,-0.058,-8.67,0.611,0.674,0.611,6897107.87042
562,MUBARAK/USDT,-0.0094,-8.785,0.0976,0.2,0.0902,28077051.06517
471,1000SATS/USDT,-1.09e-05,-10.451,9.34e-05,0.0001061,8.61e-05,56674816.7902563
514,NEIRO/USDT,-3.107e-05,-10.623,0.0002614,0.00029931,0.00026132,13656800.24833425
507,BANANA/USDT,-2.71,-10.716,22.58,25.41,22.21,10494114.32239
464,BEAMX/USDT,-0.0011,-11.1,0.00881,0.01037,0.00871,21522704.46802
419,PROS/USDT,-0.0477,-11.224,0.3773,0.427,0.372,2373408.3736
445,AST/USDT,-0.0036,-12.121,0.0261,0.0376,0.0258,1965895.117
550,LAYER/USDT,-0.2338,-16.013,1.2263,1.4759,1.2228,33882623.495244
268,LINA/USDT,-0.000387,-53.453,0.000337,0.000978,0.000306,10774866.406198
447,COMBO/USDT,-0.0404,-59.412,0.0276,0.0768,0.0263,5128691.24385
285,BURGER/USDT,-0.0378,-68.727,0.0172,0.0728,0.0166,6088918.37413
