,symbol,price_change,percent_change,last_price,high,low,volume
435,ARB/USDT,-0.0081,-2.083,0.3808,0.391,0.374,11037884.90249
227,HARD/USDT,-0.0038,-2.091,0.1779,0.1895,0.1703,1412255.3063
505,ZRO/USDT,-0.068,-2.095,3.178,3.41,3.043,31976842.72197
443,PEPE/USDT,-1.8e-07,-2.098,8.4e-06,8.7e-06,8.19e-06,128261572.66823073
474,NFP/USDT,-0.0019,-2.104,0.0884,0.0911,0.0858,1041697.0567
411,APT/USDT,-0.127,-2.116,5.874,6.083,5.826,11375829.59699
245,1INCH/USDT,-0.0046,-2.116,0.2128,0.2178,0.2099,1101873.83647
38,DASH/USDT,-0.52,-2.138,23.8,24.41,23.59,1510979.9325
180,KSM/USDT,-0.4,-2.18,17.95,18.51,17.76,1833187.31869
159,YFI/USDT,-119.0,-2.192,5310.0,5451.0,5210.0,1438280.63731
399,NEXO/USDT,-0.026,-2.205,1.153,1.188,1.152,1032914.11704
126,ARDR/USDT,-0.00142,-2.221,0.06252,0.06415,0.06244,382172.9417
157,MANA/USDT,-0.0064,-2.235,0.28,0.2881,0.2735,2295638.9814
55,ANKR/USDT,-0.00045,-2.253,0.01952,0.0201,0.0195,2116588.596618
36,IOST/USDT,-9.8e-05,-2.262,0.004235,0.004357,0.00415,1640150.378806
340,BETA/USDT,-0.00049,-2.264,0.02115,0.02167,0.02065,380009.83974
422,SYN/USDT,-0.0044,-2.265,0.1899,0.197,0.1885,925215.91619
56,WIN/USDT,-1.38e-06,-2.278,5.919e-05,6.08e-05,5.916e-05,445979.43819467
215,FIL/USDT,-0.071,-2.296,3.021,3.111,2.959,10597207.1833
430,GLM/USDT,-0.0067,-2.312,0.2831,0.2914,0.2798,1226280.74039
410,POLYX/USDT,-0.0034,-2.313,0.1436,0.1482,0.1427,967129.55791
324,ELF/USDT,-0.006,-2.338,0.2506,0.257,0.2506,1668234.26971
309,FLOW/USDT,-0.01,-2.342,0.417,0.43,0.415,1018783.98022
208,UTK/USDT,-0.00094,-2.368,0.03876,0.03982,0.03862,462224.56372
349,MOVR/USDT,-0.156,-2.378,6.404,6.6,6.358,675976.357539
533,ME/USDT,-0.03,-2.379,1.231,1.278,1.213,1976178.58382
463,ORDI/USDT,-0.23,-2.391,9.39,9.73,9.13,9016690.539
481,RONIN/USDT,-0.019,-2.396,0.774,0.798,0.764,1074417.07445
258,SFP/USDT,-0.0129,-2.434,0.517,0.5323,0.5157,475827.1199
531,ORCA/USDT,-0.071,-2.435,2.845,3.136,2.567,55811202.32313
327,IDEX/USDT,-0.00073,-2.469,0.02884,0.02996,0.02877,434352.099615
353,QI/USDT,-0.00022,-2.472,0.00868,0.00897,0.00852,640346.4865
79,HBAR/USDT,-0.00495,-2.521,0.1914,0.19683,0.18771,19594280.04565
212,NEAR/USDT,-0.078,-2.534,3.0,3.093,2.938,20853770.5772
275,TKO/USDT,-0.0053,-2.549,0.2026,0.2096,0.2015,368235.51276
397,STEEM/USDT,-0.0036,-2.553,0.1374,0.1414,0.1373,483869.62573
102,LSK/USDT,-0.015,-2.555,0.572,0.589,0.571,184869.7251
31,ZRX/USDT,-0.0072,-2.556,0.2745,0.282,0.2722,1001186.0381
183,RUNE/USDT,-0.033,-2.562,1.255,1.292,1.248,12774248.8698
12,XLM/USDT,-0.0075,-2.562,0.2852,0.2948,0.2819,10029215.0881
152,STORJ/USDT,-0.008,-2.585,0.3015,0.3157,0.3015,1218126.2724
