Datetime,Close,High,Low,Open,Volume
2024-01-01 00:00:00+00:00,1.1752609907489386e-06,1.1775895245591528e-06,1.1750357771234121e-06,1.175857050839113e-06,0
2024-01-01 01:00:00+00:00,1.1769095635827398e-06,1.1769095635827398e-06,1.1747505368475686e-06,1.1749974646591e-06,0
2024-01-01 02:00:00+00:00,1.1773792039093678e-06,1.1779817441492924e-06,1.17561569368263e-06,1.1765085901060957e-06,0
2024-01-01 03:00:00+00:00,1.166636252492026e-06,1.1775351822507218e-06,1.166636252492026e-06,1.1772413017752115e-06,31324
2024-01-01 04:00:00+00:00,1.1589943369472167e-06,1.1678160944939009e-06,1.1589943369472167e-06,1.1678160944939009e-06,612712
2024-01-01 05:00:00+00:00,1.1609057537498302e-06,1.1649237876554253e-06,1.1605471854636562e-06,1.1605471854636562e-06,744744
2024-01-01 06:00:00+00:00,1.1558377082110383e-06,1.1611592753979494e-06,1.15407772227627e-06,1.1610020465013804e-06,843408
2024-01-01 07:00:00+00:00,1.1569167099878541e-06,1.157124188466696e-06,1.1546709401955013e-06,1.1560077837202698e-06,0
2024-01-01 08:00:00+00:00,1.1549584542080993e-06,1.1562158306333004e-06,1.1540212199179223e-06,1.155892164206307e-06,0
2024-01-01 09:00:00+00:00,1.1544613016667427e-06,1.1572290077310754e-06,1.1534925761225168e-06,1.1541416142790695e-06,0
2024-01-01 10:00:00+00:00,1.1560663324416964e-06,1.1560663324416964e-06,1.1553374861250632e-06,1.155872496383381e-06,0
2024-01-01 11:00:00+00:00,1.157528117801121e-06,1.157528117801121e-06,1.1558897767827148e-06,1.1568023410291062e-06,36732
2024-01-01 12:00:00+00:00,1.1553129297681153e-06,1.157611450253171e-06,1.1553129297681153e-06,1.157611450253171e-06,601760
2024-01-01 13:00:00+00:00,1.1552234582268284e-06,1.1557249308680184e-06,1.1542837228262215e-06,1.1547178928594803e-06,0
